,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
70,人再囧途之泰囧,2012-12-12,127096,32.42341,45,7.5,761054,['徐峥'],"['徐峥', '王宝强', '黄渤', '陶虹', '谢楠', '范冰冰']",['喜剧'],['中国大陆'],"['汉语普通话', '英语', '泰语']",105
71,西游·降魔篇,2013-02-10,124695,40.226612,41,7.2,611725,"['周星驰', '郭子健']","['文章', '舒淇', '黄渤', '罗志祥', '李尚正', '陈炳强', '赵志凌', '周秀娜', '杨迪', '释彦能', '冯勉恒', '谢晶晶', '何文辉', '唐艺昕', '卢正雨', '张煜雯', '葛行于', '张超理', '程思寒']","['喜剧', '奇幻', '冒险']","['中国大陆', '中国香港']","['汉语普通话', '粤语']",110
72,碟中谍6：全面瓦解,2018-08-31,124523,36.820988,15,8.1,491736,['克里斯托弗·麦奎里'],"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '杨亮', '克里斯托弗·约纳尔', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', '马克斯·盖勒', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']","['动作', '惊悚', '冒险']","['美国', '中国大陆', '法国', '挪威', '英国']","['英语', '法语']",147
73,美国队长3,2016-05-06,124397,34.987694,25,7.9,448712,"['安东尼·罗素', '乔·罗素']","['克里斯·埃文斯', '小罗伯特·唐尼', '斯嘉丽·约翰逊', '塞巴斯蒂安·斯坦', '安东尼·麦凯', '唐·钱德尔', '杰瑞米·雷纳', '查德维克·博斯曼', '保罗·贝坦尼', '伊丽莎白·奥尔森', '保罗·路德', '艾米丽·万凯普', '汤姆·赫兰德', '丹尼尔·布鲁赫', '弗兰克·格里罗', '威廉·赫特', '马丁·弗瑞曼', '霍普·戴维斯', '玛丽莎·托梅', '吉姆·拉什', '金世佳']","['动作', '科幻', '冒险']",['美国'],"['科萨语', '英语', '德语', '俄语', '罗马尼亚语']",148
74,哥斯拉大战金刚,2021-03-26,123257,37.444496,9,6.3,287111,['亚当·温加德'],"['亚历山大·斯卡斯加德', '米莉·波比·布朗', '丽贝卡·豪尔', '凯莉·霍特尔', '布莱恩·泰里·亨利', '小栗旬', '艾莎·冈萨雷斯', '朱利安·迪尼森', '兰斯·莱迪克', '凯尔·钱德勒', '德米安·比齐尔', '哈基姆·凯-卡西姆', '钱信伊', '约翰·皮鲁切洛', '克里斯·乔克', '康兰·卡萨尔', '布拉德·麦克默里', '本杰明·里格比', '普里西拉·道伊西', '戴维·卡斯蒂洛', '吉姆·帕尔默', '柯蒂斯·布什', '皮拉·福德', '爱丽丝·兰斯伯里', '肖恩·麦克布莱德', '乔尔·皮尔斯', '乔恩·奎斯蒂德', '塔斯尼姆·罗克', '艾梅伯·瓦尔斯', '迪索·拉莫斯']","['动作', '科幻', '冒险']","['美国', '澳大利亚', '加拿大', '印度']","['英语', '美国手语']",113
75,寻梦环游记,2017-11-24,123008,33.49183,17,9.1,1618266,"['李·昂克里奇', '阿德里安·莫利纳']","['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托', '杰米·卡米尔', '阿方索·阿雷奥', '赫伯特·西古恩萨', '加布里埃尔·伊格莱西亚斯', '隆巴多·博伊尔', '安娜·奥菲丽亚·莫吉亚', '娜塔丽·科尔多瓦', '赛琳娜·露娜', '爱德华·詹姆斯·奥莫斯', '索菲亚·伊斯皮诺萨', '卡拉·梅迪纳', '黛娅娜·欧特里', '路易斯·瓦尔德斯', '布兰卡·阿拉切利', '萨尔瓦多·雷耶斯', '切奇·马林', '奥克塔维·索利斯', '约翰·拉岑贝格']","['喜剧', '动画', '音乐', '奇幻']",['美国'],"['英语', '西班牙语']",105
76,西游记之孙悟空三打白骨精,2016-02-08,119854,36.662888,36,5.6,141995,['郑保瑞'],"['郭富城', '巩俐', '冯绍峰', '小沈阳', '罗子溢', '费翔', '陈慧琳', '阿旺仁青', '彭宇', '程东', '刘楚恬', '余辛', '魏璐', '齐浠儿', '母其弥雅', '张籽沐']","['喜剧', '动作', '奇幻']","['中国大陆', '中国香港']",['汉语普通话'],120
77,悬崖之上,2021-04-30,119149,38.566544,12,7.6,733348,['张艺谋'],"['张译', '于和伟', '秦海璐', '朱亚文', '刘浩存', '倪大红', '李乃文', '余皑磊', '飞凡', '雷佳音', '沙溢', '韩昊霖', '赵毅']","['剧情', '动作', '悬疑']","['中国大陆', '中国香港']","['汉语普通话', '英语', '俄语']",120
78,湄公河行动,2016-09-30,118685,30.444935,24,8.0,727147,['林超贤'],"['张涵予', '彭于晏', '孙淳', '陈宝国', '冯文娟', '刘显达', '赵健', '吴旭东', '吴嘉龙', '卢惠光', '柏华力·莫高彼斯彻', '维他亚·潘斯林加姆', '战立国', '石占杰', '伍麟凯', '魏蔓', '李佳璇', '郝文婷', '王笑龙', '任蕊']","['剧情', '动作', '犯罪']","['中国大陆', '中国香港']","['汉语普通话', '粤语', '泰语', '缅甸语', '英语']",124
79,叶问4：完结篇,2019-12-20,118170,35.41724,11,6.8,285821,['叶伟信'],"['甄子丹', '吴樾', '吴建豪', '斯科特·阿金斯', '李宛妲', '郑则仕', '陈国坤', '敖嘉年', '高战', '叶禾', '熊黛林', '罗莽', '刘敬宇', '史蒂文·达兹']","['剧情', '动作']","['中国大陆', '中国香港']","['粤语', '英语', '汉语普通话']",107
