,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
100,狂暴巨兽,2018-04-13,100397,34.81579,13,6.3,160738,['布拉德·佩顿'],"['道恩·强森', '娜奥米·哈里斯', '杰弗里·迪恩·摩根', '玛琳·阿克曼', '杰克·莱西', '乔·曼根尼罗', '玛丽·谢尔顿', 'P·J·伯恩', '德米垂斯·格罗斯', '杰克·奎德', '布里安·希尔', '马特·杰拉德', '李威尹', '尤里亚·费伯', '布鲁斯·布莱克希尔', '杰森·莱尔斯', '马克·威尔斯', '阿莉莎·布鲁克', '亚当·希泰凯尔', '加里·维克斯', '阿诺德·陈']","['动作', '科幻', '冒险']",['美国'],['英语'],107
101,盗墓笔记,2016-08-05,100310,35.231415,27,4.8,178568,['李仁港'],"['井柏然', '鹿晗', '马思纯', '王景春', '张博宇', '涂圣成', '敖嘉年', '姜皓文', '刘蔚森']","['悬疑', '奇幻', '冒险']",['中国大陆'],['汉语普通话'],123
102,功夫熊猫3,2016-01-29,100054,35.60617,25,7.8,353020,"['吕寅荣', '亚历山德罗·卡罗尼']","['杰克·布莱克', '布莱恩·科兰斯顿', '达斯汀·霍夫曼', '安吉丽娜·朱莉', 'J·K·西蒙斯', '成龙', '塞斯·罗根', '刘玉玲', '大卫·克罗斯', '凯特·哈德森', '吴汉章', '兰德尔·杜克·金', '尚格·云顿', '斯蒂尔·加尼翁', '利亚姆·奈特', '韦恩·奈特', '芭芭拉·迪里克森', '阿尔·罗克', '威利·盖斯特', '弗雷德·塔特西奥', '迈克·米切尔', '凯莉·库尼', '斯蒂芬·凯林', '米克·温格特', '蔡明昊', '艾普尔·洪', '帕克斯·朱莉-皮特', '诺克斯·朱莉-皮特', '扎哈拉·朱莉-皮特', '希洛·朱莉-皮特']","['喜剧', '动作', '动画', '冒险']","['美国', '中国大陆']",['英语'],95
103,熊出没·重返地球,2022-02-01,97769,46.636932,16,6.5,30201,['林汇达'],"['张秉君', '张伟', '谭笑', '李婉瑶', '程子洋', '刘思奇']","['喜剧', '动画', '儿童']",['中国大陆'],['汉语普通话'],99
104,奇幻森林,2016-04-15,97684,33.531403,24,7.8,255322,['乔恩·费儒'],"['尼尔·塞西', '比尔·默瑞', '本·金斯利', '伊德里斯·艾尔巴', '露皮塔·尼永奥', '斯嘉丽·约翰逊', '吉安卡罗·埃斯波西托', '克里斯托弗·沃肯', '恩杰伊·安东尼', '盖瑞·山德林', '莎拉·阿林顿', '瑞提什·拉詹']","['剧情', '奇幻', '冒险']","['英国', '美国']",['英语'],106
105,澳门风云2,2015-02-19,97263,39.20782,36,5.6,166190,"['王晶', '张敏']","['周润发', '张家辉', '刘嘉玲', '余文乐', '王诗龄', '胡然', '姜大卫', '童飞', '吴樾', '金巧巧', '黄德斌', '姜皓文', '曾国祥', '袁泉', '曾志伟', '陈百祥', '孟瑶', '刘德华']","['喜剧', '动作']","['中国香港', '中国大陆']","['粤语', '汉语普通话', '泰语', '四川话', '英语']",110
106,比悲伤更悲伤的故事,2019-03-14,95843,30.736097,15,7.7,93379,['元泰渊'],"['权相宇', '李凡秀', '李宝英', '郑爱延', '李汉伟', '申贤俊']",['爱情'],['韩国'],['韩语'],105
107,西游记之大圣归来,2015-07-10,95462,34.659386,34,8.3,668371,['田晓鹏'],"['张磊', '林子杰', '吴文伦', '童自荣', '刘九容', '吴迪', '刘北辰', '赵乾景', '周帅']","['剧情', '动画', '奇幻']",['中国大陆'],"['汉语普通话', '粤语']",89
108,哥斯拉2：怪兽之王,2019-05-31,93740,36.072906,14,6.2,265875,['迈克尔·道赫蒂'],"['凯尔·钱德勒', '维拉·法米加', '米莉·波比·布朗', '章子怡', '渡边谦', '布莱德利·惠特福德', '托马斯·米德蒂奇', '艾莎·辛德斯', '莎莉·霍金斯', '查尔斯·丹斯', '大卫·斯特雷泽恩', '小奥谢拉·杰克逊', '希·庞德', '安东尼·拉莫斯', '杰森·莱尔斯', '乔纳森·霍华德', '莱尔·布罗卡托', '兰德尔·P·海文斯', 'T·C·马特恩', '吉米·冈萨雷斯', '萨莎·里翁达', '文斯·福斯特', '贾斯蒂斯·利克', '菲奥娜·哈丁汉姆', '露西·卡罗尔', '约书亚·利瑞', '艾伦·马克森', '肯尼斯·以色列', '阿尔·维森特', '塞西尔·M·亨利', '迈克尔·大卫·育尔', '本杰明·韦弗', '卡梅伦·布鲁姆布罗', '帕蒂·舍尔哈斯', '理查德·多顿', '詹姆斯·斯特林', '麦克斯威尔·海史密斯', '贾斯汀·斯劳特', '肖恩·索斯', '马科·查卡', '蒂莫西·卡尔']","['动作', '科幻', '冒险', '灾难']","['美国', '日本', '中国大陆', '加拿大']",['英语'],132
109,穿过寒冬拥抱你,2021-12-31,93684,42.428276,10,6.0,115237,['薛晓路'],"['黄渤', '贾玲', '朱一龙', '徐帆', '高亚麟', '吴彦姝', '许绍雄', '王骁', '周冬雨', '刘昊然', '乔欣', '王一楠', '刘天佐', '田小洁', '孙茜', '张宥浩', '尚语贤']","['剧情', '爱情']",['中国大陆'],"['汉语普通话', '武汉方言']",124
110,扬名立万,2021-11-11,92669,38.033318,7,7.4,703389,['刘循子墨'],"['尹正', '邓家佳', '喻恩泰', '杨皓宇', '陈明昊', '秦霄贤', '张本煜', '柯达', '邓恩熙', '余皑磊', '白客', '赵文瑄', '小爱', '周奇']","['剧情', '喜剧', '悬疑']",['中国大陆'],['汉语普通话'],123
111,无名,2023-01-22,90432,53.00308,20,6.7,552810,['程耳'],"['梁朝伟', '王一博', '周迅', '黄磊', '森博之', '大鹏', '王传君', '江疏影', '张婧仪', '周生昊', '董易', '古川岳史 ', '彭广', '赵左', '高曙光', '美浓轮泰史', '金子浩拓 ', '三浦研一', '吴映', '李欣', '徐婧荧']","['剧情', '悬疑', '历史']",['中国大陆'],"['汉语普通话', '沪语', '粤语', '日语']",128
112,超时空同居,2018-05-18,90307,33.010834,12,6.8,509994,['苏伦'],"['雷佳音', '佟丽娅', '张衣', '于和伟', '王正佳', '陶虹', '李念', '李光洁', '杨玏', '范明', '徐峥', '杨迪', '方龄', '陈昊']","['喜剧', '爱情', '奇幻']",['中国大陆'],['汉语普通话'],101
113,老炮儿,2015-12-24,90116,31.459543,38,7.5,754138,['管虎'],"['冯小刚', '许晴', '张涵予', '刘桦', '李易峰', '吴亦凡', '梁静', '白举纲', '于和伟', '连奕名', '尚语贤', '鲁诺', '管宗祥', '尹力', '余皑磊', '宁浩', '江珊', '张译', '郭京飞', '张鲁一', '赵毅', '梁天', '张一山', '王俊凯', '王源', '易烊千玺', '巴图']","['剧情', '犯罪']",['中国大陆'],['汉语普通话'],137
114,阿丽塔：战斗天使,2019-02-22,89693,37.834686,14,7.5,587102,['罗伯特·罗德里格兹'],"['罗莎·萨拉查', '克里斯托弗·瓦尔兹', '基恩·约翰逊', '艾德·斯克林', '马赫沙拉·阿里', '詹妮弗·康纳利', '杰基·厄尔·哈利', '拉娜·康多', '小豪尔赫·兰登伯格', '艾莎·冈萨雷斯', '卡斯帕·范·迪恩', '米歇尔·罗德里格兹', '爱德华·诺顿', '杰夫·法赫', '山姆麦地那', '德里克·梅耶斯', '艾丽·拉蒙特', '豪尔赫·A·希门尼斯', '马克·扎罗', '比利·布莱尔', '伦纳德·吴', '特里斯坦·里格斯', '迈克尔·洛夫·托利弗', '金', '达塞尔·丹妮尔', '马克·A·怀特']","['动作', '科幻', '冒险']","['美国', '日本', '加拿大']","['英语', '西班牙语']",122
115,绝地逃亡,2016-07-21,88769,34.733532,25,5.7,94340,['雷尼·哈林'],"['成龙', '范冰冰', '约翰尼·诺克斯维尔', '曾志伟', '王敏德', '赵文瑄', '伊芙·托雷斯', '郭品超', '施诗', '延政勋', '张蓝心', '吉丽', '托马尔·奥兹', '保罗·菲利普·克拉克', '吴耀汉']","['喜剧', '动作']","['中国大陆', '美国', '中国香港']","['汉语普通话', '英语', '俄语']",111
116,智取威虎山,2014-12-23,88348,41.353405,28,7.7,383726,['徐克'],"['张涵予', '梁家辉', '林更新', '余男', '佟丽娅', '韩庚', '陈晓', '谢苗', '吴旭东', '杜奕衡', '海一天', '张立', '释彦能', '孙蛟龙', '程思寒', '元武', '肖轶', '王尧', '杨一威', '苏翊鸣']","['剧情', '动作', '战争', '冒险']","['中国大陆', '中国香港']","['汉语普通话', '英语']",143
117,十二生肖,2012-12-20,88176,40.26582,37,6.8,348403,['成龙'],"['成龙', '权相宇', '廖凡', '姚星彤', '张蓝心', '白露娜', '刘承俊', '吴彦祖', '舒淇', '李宗盛', '陈柏霖', '卢惠光', '耿长军', '白冰', '林鹏']","['喜剧', '动作', '冒险']","['中国大陆', '中国香港']","['英语', '汉语普通话', '粤语', '法语', '西班牙语']",122
118,银河补习班,2019-07-18,87832,34.11227,16,6.2,360939,"['邓超', '俞白眉']","['邓超', '白宇', '任素汐', '王西', '孙浠伦', '李建义', '梁超', '邵兵', '王戈', '吴亚衡', '魏尊', '冯泽昂', '吴京']",['剧情'],['中国大陆'],['汉语普通话'],147
119,星际穿越,2014-11-12,87697,35.246487,23,9.4,1767743,['克里斯托弗·诺兰'],"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '提莫西·查拉梅', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉亚西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X.麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']","['剧情', '科幻', '冒险']","['美国', '英国', '加拿大']",['英语'],169
120,碟中谍5：神秘国度,2015-09-08,86806,32.779945,26,7.9,317130,['克里斯托弗·麦奎里'],"['汤姆·克鲁斯', '杰瑞米·雷纳', '丽贝卡·弗格森', '西蒙·佩吉', '文·瑞姆斯', '西恩·哈里斯', '西蒙·迈克伯尼', '汤姆·霍兰德尔', '延斯·赫尔腾', '亚历克·鲍德温', '张静初', '马特罗·鲁菲诺', '费尔南多·阿巴迪', '亚历克·乌特戈夫', '赫敏·科菲尔德', '奈吉尔·巴伯', 'William Roberts', '巴纳巴斯·雷蒂', '罗伯特‧马瑟', '沃尔夫冈·施特格曼', '阿美莉嘉·奥利沃', '斯特拉·斯托克尔', '劳伦斯·鲁波', '沃尔夫冈·塞尔尼', '鲁珀特·威克姆', '彼得·斯塔克', '雷切尔·汉德肖', '肖恩·克罗宁', '亚森·阿图', '明格斯·约翰斯顿', '奥赛·伊克希尔', '奈杰尔·艾伦', 'Femi Ogunbanjo', 'Thomas Anton', '拉斯科·阿特金斯', '查尔斯·巴巴洛拉', '理查德·班克斯', '劳拉·伯纳德斯基', '埃里克·可可', '贝恩·科拉科']","['动作', '惊悚', '冒险']","['美国', '中国大陆', '奥地利', '英国', '摩洛哥']","['英语', '瑞典语', '德语']",131
121,温暖的抱抱,2020-12-31,86414,37.13156,11,5.2,182448,['常远'],"['常远', '李沁', '沈腾', '乔杉', '马丽', '艾伦', '田雨', '王智', '魏翔', '王宁', '黄才伦', '张一鸣', '王成思', '张子栋', '陈昊明', '吴莫愁']",['喜剧'],['中国大陆'],['汉语普通话'],112
122,冰雪奇缘2,2019-11-22,86077,34.397697,11,7.0,374892,"['克里斯·巴克', '珍妮弗·李']","['克里斯汀·贝尔', '伊迪娜·门泽尔', '乔什·加德', '乔纳森·格罗夫', '杰森·雷特', '埃文·蕾切尔·伍德', '斯特林·K·布朗', '玛莎·普林顿', '圣蒂诺·方塔纳', '阿尔弗雷德·莫里纳', '瑞秋·马休斯']","['喜剧', '动画', '歌舞', '冒险']",['美国'],['英语'],103
123,我的姐姐,2021-04-02,86020,36.802753,9,6.9,362125,['殷若昕'],"['张子枫', '肖央', '朱媛媛', '段博文', '梁靖康', '金遥源', '王圣迪', '孙嘉灵', '陈永胜', '朴松日']","['剧情', '家庭']",['中国大陆'],"['汉语普通话', '四川话']",127
124,夺冠,2020-09-25,83677,38.80761,10,7.1,426155,['陈可辛'],"['巩俐', '黄渤', '吴刚', '彭昱畅', '白浪', '朱婷', '徐云丽', '张常宁', '姚迪', '林莉', '刘晓彤', '颜妮', '惠若琪', '丁霞', '袁心玥', '龚翔宇', '李现', '刘敏涛', '陈展', '罗慧', '毛雯', '李紫微', '李冬徐', '马雪纯', '刘畅', '刘贞宏', '凌敏', '李阳一', '刘晨曦']","['剧情', '运动']","['中国大陆', '中国香港']","['汉语普通话', '英语', '日语', '葡萄牙语']",135
125,深海,2023-01-22,83517,47.073193,16,7.3,283093,['田晓鹏'],"['苏鑫', '王亭文', '滕奎兴', '杨婷', '吉静', '郭浩然', '田晓鹏', '董一', '方韬辰']","['动画', '奇幻']",['中国大陆'],['汉语普通话'],112
126,狮子王,2019-07-12,83387,35.99164,16,7.2,349457,"['罗杰·阿勒斯', '罗伯·明可夫']","['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利', '内森·连恩', '尼基塔·卡兰姆', '埃林·萨贝拉', '乌比·戈德堡', '罗温·艾金森']","['动画', '歌舞', '冒险']",['美国'],"['英语', '斯瓦希里语', '科萨语', '祖鲁语']",89
127,蚁人2：黄蜂女现身,2018-08-24,83157,36.05231,15,7.3,435072,['佩顿·里德'],"['保罗·路德', '伊万杰琳·莉莉', '迈克尔·佩纳', '汉娜·乔恩-卡门', '沃尔顿·戈金斯', '鲍比·坎纳瓦尔', '朱迪·格雷尔', 'T.I.', '大卫·达斯马齐连', '艾比·莱德·弗特森', '兰道尔·朴', '米歇尔·菲佛', '劳伦斯·菲什伯恩', '迈克尔·道格拉斯', '戈兰·卡斯蒂克', '罗布·阿切尔', '肖恩·克莱尔', '本·戴维斯', '迈克尔·瑟沃瑞斯', '达克斯·格里芬', '海莉·洛维特', '玛德琳·麦格劳', '蒂姆·海德克', '布莱恩·赫斯基', '朱莉娅·维拉', '布莱恩·卢戈', '托里·沃格尔', '汤姆·夏普林', '斯坦·李', '约瑟夫·阿梅', '安迪·阿尼斯', '威廉·W·巴伯', '玛塞拉·布拉吉奥', '塞尔吉奥·布里奥内斯', '乔·布卡罗三世', '蒂莫西·卡尔', '贾迈尔·钱伯斯', '扎卡里·卡伯森', '雅各布·埃文斯', '米歇尔·毛', '盖尔·甘布尔', '克里斯·加恩', '约翰·盖蒂尔', '杰克·汉森', '卡茜·亨德利']","['动作', '科幻', '冒险']",['美国'],['英语'],118
128,星球大战：原力觉醒,2016-01-09,82426,37.234848,24,7.2,213742,['J·J·艾布拉姆斯'],"['哈里森·福特', '马克·哈米尔', '凯丽·费雪', '亚当·德赖弗', '黛西·雷德利', '约翰·博耶加', '多姆纳尔·格里森', '奥斯卡·伊萨克', '露皮塔·尼永奥', '安迪·瑟金斯', '安东尼·丹尼尔斯', '彼德·梅犹', '马克斯·冯·叙多夫', '比利·迪·威廉姆斯', '艾德·斯皮伊尔斯', '马修·詹姆斯·托马斯', '肯尼·贝克', '格温多兰·克里斯蒂', '西蒙·佩吉', '克里斯塔·克拉克', '匹普·安德森']","['动作', '科幻', '冒险']",['美国'],['英语'],138
129,唐人街探案,2015-12-31,82334,31.74618,33,7.7,820434,['陈思诚'],"['王宝强', '刘昊然', '佟丽娅', '陈赫', '肖央', '小沈阳', '潘粤明', '马浴柯', '张子枫', '赵英俊', '桑平', '金士杰', '大鹏', '张国强', '李叶青', '陈祉希', '戴墨']","['喜剧', '动作', '悬疑']",['中国大陆'],"['汉语普通话', '泰语', '英语']",135
130,从你的全世界路过,2016-09-29,81334,31.217215,22,5.3,333823,['张一白'],"['邓超', '白百何', '杨洋', '张天爱', '岳云鹏', '杜鹃', '柳岩', '廖学秋', '曹卫宇', '汪启楠', '安韩瑾', '潘肖', '曹涤非', '朱红', '刘乐思', '蓝可', '梁超', '张爱钦', '张美娥']","['喜剧', '爱情']",['中国大陆'],['汉语普通话'],113
131,X战警：天启,2016-06-03,80091,34.448685,23,7.7,369370,['布莱恩·辛格'],"['詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '尼古拉斯·霍尔特', '奥斯卡·伊萨克', '罗丝·伯恩', '埃文·彼得斯', '休·杰克曼', '乔什·赫尔曼', '苏菲·特纳', '泰伊·谢里丹', '卢卡斯·提尔', '柯蒂·斯密特-麦菲', '本·哈迪', '亚历山德拉·希普', '拉娜·康多', '奥立薇娅·玛恩']","['动作', '科幻', '奇幻', '冒险']",['美国'],"['英语', '德语', '阿拉伯语', '波兰语', '古埃及语']",144
132,反贪风暴4,2019-04-04,79905,34.990177,11,5.9,165759,['林德禄 '],"['古天乐', '郑嘉颖', '林峯', '林家栋', '周秀娜', '张智霖', '谭耀文', '张继聪', '蔡瀚亿', '廖启智', '艾威', '卢海鹏', '夏嫣', '黄祥兴', '张松枝', '张建声', '栢天男', '丁海峰', '刘梦娜', '陈静', '朱鉴然', '苏宸褕', '石修', '陈曼娜', '关礼杰', '薛世恒']","['动作', '犯罪']","['中国香港', '中国大陆']","['粤语', '汉语普通话']",96
133,无名之辈,2018-11-16,79452,34.597515,12,8.0,997871,['饶晓志'],"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉', '九孔', '马吟吟', '程怡', '宁桓宇', '邓恩熙', '谢波', '范翔', '赵梓冲', '史策', '马睿瀚', '林海', '邓钢']","['剧情', '喜剧']",['中国大陆'],"['汉语普通话', '贵州方言']",108
134,你的婚礼,2021-04-30,78920,37.587566,15,4.7,168784,['韩天'],"['许光汉', '章若楠', '丁冠森', '晏紫东', '郭丞', '王莎莎', '梁靖康', '刘迅']",['爱情'],['中国大陆'],['汉语普通话'],115
135,北京遇上西雅图之不二情书,2016-04-29,78538,33.515335,24,6.4,248171,['薛晓路'],"['汤唯', '吴秀波', '惠英红', '秦沛', '吴彦姝', '颜卓灵', '王志文', '陆毅', '祖峰', '王茜', '刘志宏', '张一白', '艾丽娅', '李灿森', '陈创', '韩张']","['喜剧', '爱情']","['中国大陆', '中国香港']","['汉语普通话', '英语', '粤语']",131
136,蜘蛛侠：英雄归来,2017-09-08,77477,35.15436,16,7.3,421244,['乔·沃茨'],"['汤姆·赫兰德', '小罗伯特·唐尼', '玛丽莎·托梅', '迈克尔·基顿', '雅各布·巴特朗', '托尼·雷沃罗利', '赞达亚', '乔恩·费儒', '亚伯拉罕·阿塔哈', '劳拉·哈里尔', '迈克尔·巴尔别里', '罗根·马歇尔-格林', '马丁·斯塔尔', '唐纳德·格洛弗', '汉尼拔·布勒斯', '迈克尔·曼多', '博基姆·伍德拜因', '肯尼斯·崔', '詹妮弗·康纳利', '格温妮斯·帕特洛', '克里斯·埃文斯']","['动作', '科幻', '冒险']",['美国'],['英语'],133
137,叶问3,2016-03-04,76948,38.843933,23,6.7,162950,['叶伟信'],"['甄子丹', '迈克·泰森', '张晋', '熊黛林', '谭耀文', '吴千语', '喻亢', '郑则仕', '梁家仁', '张继聪', '陈国坤', '刘以达', '宗菲', '曹操', '王实', '崔璨', '刘艺菲']","['剧情', '动作', '传记', '历史']","['中国大陆', '中国香港']","['汉语普通话', '粤语', '英语']",105
138,人潮汹涌,2021-02-12,76235,41.317875,10,6.5,387405,['饶晓志'],"['刘德华', '肖央', '万茜', '程怡', '黄小蕾', '国义骞', '狄志杰', '郭京飞', '刘天佐', '路阳', '郭帆', '刘浩良', '饶晓志', '雷佳音', '史航', '魏之皓', '王学兵', '林海', '隋凯', '卫莱', '邵逸凡']","['喜剧', '犯罪']","['中国大陆', '中国香港']",['汉语普通话'],119
139,霍比特人3：五军之战,2015-01-23,76129,45.45982,30,8.6,372626,['彼得·杰克逊'],"['马丁·弗瑞曼', '伊恩·麦克莱恩', '理查德·阿米蒂奇', '伊万杰琳·莉莉', '李·佩斯', '卢克·伊万斯', '本尼迪克特·康伯巴奇', '肯·斯托特', '詹姆斯·内斯比特', '比利·康诺利', '凯特·布兰切特', '伊安·霍姆', '克里斯托弗·李', '雨果·维文', '奥兰多·布鲁姆', '马努·贝内特', '艾丹·特纳', '迪恩·奥戈曼', '格拉汉姆·麦克泰维什', '斯蒂芬·弗雷', '米卡埃尔·佩斯布兰特']","['动作', '奇幻', '冒险']","['美国', '新西兰']",['英语'],144
140,大闹天竺,2017-01-28,75611,35.56586,31,3.7,119974,['王宝强'],"['王宝强', '白客', '岳云鹏', '柳岩', '黄渤', '林永健', '马浴柯', '陈佩斯', '朱时茂', '王祖蓝', '刘昊然']","['喜剧', '动作', '冒险']",['中国大陆'],['汉语普通话'],100
141,钢铁侠3,2013-05-01,75486,41.834854,33,7.9,415142,['沙恩·布莱克'],"['小罗伯特·唐尼', '盖·皮尔斯', '格温妮斯·帕特洛', '本·金斯利', '唐·钱德尔', '保罗·贝坦尼', '丽贝卡·豪尔', '乔恩·费儒', '泰·辛普金斯', '威廉姆·赛德勒', '詹姆斯·戴尔', '伊芳·齐玛', '阿什利·汉弥尔顿', '王学圻', '范冰冰']","['动作', '科幻']","['美国', '中国大陆']","['英语', '汉语普通话']",134
142,无问西东,2018-01-12,75432,31.431118,18,7.5,706557,['李芳芳'],"['章子怡', '黄晓明', '张震', '王力宏', '陈楚生', '铁政', '祖峰', '米雪', '王盛德', '韩童生', '王鑫', '郑铮', '章泽天', '黄梦莹', '林美秀', '保罗·菲利普·克拉克', '胡家华', '伊娜', '吴谨言', '纪帅', '王天泽', '伍麟凯', '都星言']","['剧情', '爱情', '战争']",['中国大陆'],['汉语普通话'],138
143,奇异博士,2016-11-04,75020,34.8847,18,6.3,225594,['山姆·雷米'],"['本尼迪克特·康伯巴奇', '伊丽莎白·奥尔森', '切瓦特·埃加福', '本尼迪克特·黄', '索契尔·戈麦斯', '瑞秋·麦克亚当斯', '迈克尔·斯图巴', '帕特里克·斯图尔特', '海莉·阿特维尔', '约翰·卡拉辛斯基', '拉什纳·林奇', '安松·蒙特', '查理兹·塞隆', '希拉·阿蒂姆', '亚当·赫吉尔', '亚子·米切尔', '杨沫沫', '丹尼尔·斯温', '多波·雷斯尼怀罗', '伊登·纳森森', '维尼·莫利', '大卫·谢', '乔丹·亚历桑德拉', '迈克尔·沃尔德伦', '朱利安·希威德', '杰特·克莱恩', '布鲁斯·坎贝尔', '马里安·洛伦西克']","['动作', '科幻', '恐怖', '奇幻', '冒险']",['美国'],"['英语', '西班牙语']",126
144,神秘巨星,2018-01-19,74708,30.02213,17,7.7,406310,['阿德瓦·香登'],"['塞伊拉·沃西', '梅·维贾', '阿米尔·汗', '拉杰·阿晶', '提斯·沙马', '卡比尔·谢赫', '法如克·贾法尔', '马努杰·沙玛', '莫娜·安伯加卡尔', '尼基塔·阿南德', '尚', '莫纳利·塔库尔']","['剧情', '音乐']",['印度'],"['印地语', '英语']",150
145,雷神3：诸神黄昏,2017-11-03,74371,35.466118,15,7.4,402549,['塔伊加·维迪提'],"['克里斯·海姆斯沃斯', '汤姆·希德勒斯顿', '凯特·布兰切特', '伊德里斯·艾尔巴', '杰夫·高布伦', '泰莎·汤普森', '卡尔·厄本', '马克·鲁弗洛', '安东尼·霍普金斯', '本尼迪克特·康伯巴奇', '塔伊加·维迪提', '瑞切尔·豪斯', '克兰西·布朗', '浅野忠信', '雷·史蒂文森', '扎克瑞·莱维', '卢克·海姆斯沃斯', '马特·达蒙', '山姆·尼尔', '夏洛特·尼克道', '斯坦·李']","['动作', '奇幻', '冒险']",['美国'],['英语'],130
146,天将雄师,2015-02-19,74201,40.640205,38,6.0,109351,['李仁港'],"['成龙', '约翰·库萨克', '艾德里安·布洛迪', '崔始源', '林鹏', '王若心', '肖央', '王太利', '洪天照', '刘承俊', '萝莉·佩斯特', '冯绍峰', '吴建豪', '林嘉欣', '沙妮·文森', '西蒙子', '郭洺宇']","['动作', '战争', '古装']","['中国大陆', '中国香港']","['汉语普通话', '英语']",127
147,猩球崛起3：终极之战,2017-09-15,74051,34.9678,16,6.9,215959,['马特·里夫斯'],"['安迪·瑟金斯', '伍迪·哈里森', '斯蒂夫·扎恩', '卡琳·考诺娃', '阿米尔·米勒', '泰瑞·诺塔里', '泰·奥尔森', '迈克尔·亚当思韦特', '托比·凯贝尔', '加布里埃尔·查瓦里亚', '朱迪·格雷尔', '莎拉·坎宁', '德文·达尔顿', '阿莱克斯·潘诺维奇', '亚历桑德罗·朱利安尼', '马克斯·洛伊德-琼斯', '蒂莫西·韦伯']","['剧情', '动作', '科幻']",['美国'],"['英语', '美国手语']",140
148,金刚狼3：殊死一战,2017-03-03,73008,32.372185,16,8.3,413094,['詹姆斯·曼高德'],"['休·杰克曼', '帕特里克·斯图尔特', '达芙妮·基恩', '波伊德·霍布鲁克', '斯戴芬·莫昌特', '伊丽莎白·罗德里格斯', '多丽丝·莫尔加多', '理查德·E·格兰特', '玛丽·佩顿·斯图尔特', '伊利斯·尼尔', '埃里克·拉萨尔', '劳伦·格罗斯', '胡安·贾斯帕', '克日什托夫·索什斯基', '萨博·班克森']","['剧情', '动作', '科幻']",['美国'],"['英语', '西班牙语']",123
149,西游记女儿国,2018-02-16,72741,39.74682,33,4.4,154619,['郑保瑞'],"['郭富城', '冯绍峰', '赵丽颖', '小沈阳', '罗子溢', '林志玲', '梁咏琪', '刘涛', '孙伊涵', '苑琼丹', '潘斌龙', '陈雅丽', '施诗']","['喜剧', '爱情', '奇幻']","['中国大陆', '中国香港']",['汉语普通话'],116
150,X战警：逆转未来,2014-05-23,72293,37.240368,29,8.2,437649,['布莱恩·辛格'],"['休·杰克曼', '詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '哈莉·贝瑞', '尼古拉斯·霍尔特', '埃文·彼得斯', '伊恩·麦克莱恩', '帕特里克·斯图尔特', '艾利奥特·佩吉', '安娜·帕奎因', '彼特·丁拉基', '肖恩·阿什莫', '卢卡斯·提尔', '丹尼尔·库德摩尔', '波波·斯图尔特', '奥玛·希', '范冰冰', '阿丹·坎托', '乔什·赫尔曼']","['剧情', '动作', '科幻', '冒险']","['美国', '英国']","['英语', '越南语', '法语']",132
151,终结者：创世纪,2015-08-23,72240,36.772095,24,6.9,147885,['阿兰·泰勒'],"['阿诺·施瓦辛格', '杰森·克拉克', '艾米莉亚·克拉克', '杰·科特尼', 'J·K·西蒙斯', '戴奥·奥柯奈伊', '马特·史密斯', '考特尼·万斯', '李秉宪', '迈克尔·盖拉迪斯', '何家蓓', '韦恩·巴斯楚普', '格雷戈里·艾伦·威廉斯', '奥托·桑切斯', '马蒂·费拉罗', '格里夫·弗斯特', '伊恩·埃瑟里奇', '诺兰·格罗斯', '塞思·梅里韦瑟', '阿非莫·奥米拉', '特瑞·韦伯', '凯莉·奥马利']","['动作', '科幻', '冒险']",['美国'],['英语'],126
152,致我们终将逝去的青春,2013-04-26,71902,31.97473,36,6.5,483438,['赵薇 Wei Zhao'],"['杨子姗', '赵又廷', '韩庚', '江疏影', '刘雅瑟', '张瑶', '包贝尔', '郑恺', '王佳佳', '黄宥明', '佟丽娅', '孙玮', '王森', '黄小蕾', '杨澜', '宫哲', '崔文璐', '韩红', '潘虹', '李大光', '马小宁', '郝姗姗']","['剧情', '爱情']",['中国大陆'],['汉语普通话'],132
